voyage_id,route_name,vessel_class,vessel_category,fuel_type,speed_knots,distance_nm,cargo_load_factor,displacement_ton,wind_speed_knots,wind_direction_deg,wave_height_m,days_since_drydock,transit_time_hours,port_dwell_time_hours,propulsion_power_kw,engine_load_ratio,added_resistance_pct,is_overloaded,use_shore_power,port_power_source,grid_electricity_kwh,me_fuel_consumed_kg,aux_fuel_transit_kg,port_fuel_consumed_kg,total_fuel_consumed_kg,observed_fuel_consumed_kg,fuel_cost_usd,total_energy_cost_usd,carbon_tax_usd_per_ton,carbon_tax_usd,total_voyage_cost_usd,ttw_co2_emissions_kg,wtw_co2e_emissions_kg,cii_rating_g_co2_dwt_nm
VOY-00011,Ras Tanura - Singapore (Crude Tanker),Bulk_Handysize,Bulk Carrier,LNG,15.9,3822.5,0.83,40033.2,19.2,113.8,1.7,212,240.41,31.1,10805.2,1.0,12.56,True,False,Auxiliary_Engine,0.0,389800.4,29312.8,3028.3,422141.5,422438.0,337713.23,337713.23,0.0,0.0,337713.23,1160889.2,1349490.2,7.992
VOY-00012,Custom_Charter_Route,Bulk_Capesize,Bulk Carrier,Methanol,13.64,330.0,0.673,145071.4,5.9,116.1,0.78,654,24.2,36.9,14802.4,0.897,12.06,False,False,Auxiliary_Engine,0.0,124635.6,10072.8,12993.8,147702.2,144324.7,155087.34,155087.34,80.0,6278.82,161366.17,203090.6,78485.3,3.419
VOY-00013,Custom_Charter_Route,Bulk_Handysize,Bulk Carrier,HFO,9.79,9669.1,0.513,27975.1,21.6,95.3,2.57,16,987.22,59.8,2138.3,0.297,21.01,False,False,Auxiliary_Engine,0.0,431743.2,128957.2,7066.3,567766.6,571455.4,340659.96,340659.96,180.0,372340.91,713000.87,1768025.2,2068560.6,4.812
VOY-00014,Custom_Charter_Route,Container_Feeder,Container,HFO,13.84,9883.6,0.909,42401.4,19.1,115.6,2.14,241,714.07,29.9,7023.0,0.39,17.62,False,False,Auxiliary_Engine,0.0,954473.1,261308.4,8468.0,1224249.5,1250185.3,734549.69,734549.69,0.0,0.0,734549.69,3812312.9,4463971.8,11.345
VOY-00015,Singapore - Rotterdam,Bulk_Capesize,Bulk Carrier,LNG,10.63,8542.5,0.761,160932.4,18.6,58.6,1.62,518,803.95,43.2,7985.6,0.484,19.24,False,False,Auxiliary_Engine,0.0,946061.7,140070.6,6158.4,1092290.7,1103708.4,873832.56,873832.56,0.0,0.0,873832.56,3003799.4,3492559.0,1.954
VOY-00016,Santos - Rotterdam (Agri-Bulk),Container_ULCV,Container,Methanol,20.27,5558.8,0.967,233507.0,3.4,163.1,0.5,623,274.21,39.7,56204.5,0.803,10.3,False,True,Shore_Power_AMP,172344.2,5136974.5,637045.3,0.0,5774019.7,5651703.2,6062720.72,6094092.67,180.0,479483.94,6573576.61,7939277.1,2663799.7,7.324
VOY-00017,Tokyo - Busan (Regional),Bulk_Handysize,Bulk Carrier,HFO,12.49,604.9,0.377,22843.9,12.6,159.0,1.37,51,48.42,56.6,3408.2,0.473,6.35,False,True,Shore_Power_AMP,33489.1,31094.4,5964.0,0.0,37058.4,37370.1,22235.05,28613.08,180.0,26638.04,55251.12,115399.9,147989.1,5.02
VOY-00018,Shanghai - Rotterdam (Suez),Bulk_Handysize,Bulk Carrier,Methanol,11.14,10135.1,0.656,33417.6,13.0,71.0,0.89,653,909.8,36.9,3333.0,0.463,13.87,False,False,Auxiliary_Engine,0.0,1167308.6,256488.8,8866.1,1432663.5,1482434.3,1504296.68,1504296.68,0.0,0.0,1504296.68,1969912.3,652899.7,5.115
VOY-00019,Shanghai - Rotterdam (Suez),Container_Feeder,Container,HFO,17.73,10177.4,0.86,40736.5,15.0,92.0,1.67,50,574.11,50.3,13496.1,0.75,10.5,False,False,Auxiliary_Engine,0.0,1350533.7,206371.6,14265.2,1571170.5,1580294.9,942702.29,942702.29,250.0,1431781.52,2374483.81,4892624.9,5727126.1,14.139
VOY-00020,Singapore - Rotterdam,Bulk_Handysize,Bulk Carrier,LNG,9.66,7672.6,0.643,32946.4,14.0,51.6,1.29,706,794.44,13.9,2230.5,0.31,18.05,False,True,Shore_Power_AMP,8209.0,296118.4,90141.0,0.0,386259.4,387033.8,309007.54,310835.15,80.0,99131.96,409967.12,1062213.4,1239149.6,3.643
VOY-00021,Custom_Charter_Route,Bulk_Handysize,Bulk Carrier,HFO,12.66,2491.7,0.742,36712.0,38.4,130.7,5.16,283,196.88,58.5,7743.5,1.0,69.46,True,False,Auxiliary_Engine,0.0,277906.7,28213.1,6914.8,313034.6,307855.5,187820.77,187820.77,80.0,91109.6,278930.37,974789.8,1138870.0,10.295
VOY-00022,Hamburg - New York (Transatlantic),Bulk_Handysize,Bulk Carrier,LNG,9.55,3920.2,0.877,41813.4,19.8,73.6,2.0,110,410.53,38.4,2494.2,0.346,16.51,False,False,Auxiliary_Engine,0.0,167753.1,50926.9,3730.3,222410.2,220642.9,177928.17,177928.17,180.0,127806.13,305734.3,611628.1,710034.1,4.106
VOY-00023,Custom_Charter_Route,Bulk_Capesize,Bulk Carrier,HFO,16.18,6164.7,0.735,156369.1,4.6,136.4,0.5,711,380.91,28.4,25913.4,1.0,11.63,True,True,Shore_Power_AMP,24672.0,1715646.5,79841.9,0.0,1795488.4,1826868.7,1077293.05,1082084.02,0.0,0.0,1082084.02,5591150.9,6562908.1,5.039
VOY-00024,Custom_Charter_Route,Bulk_Handysize,Bulk Carrier,HFO,12.25,671.4,0.948,44522.5,17.4,47.0,3.13,530,54.8,41.6,6529.2,0.907,38.45,False,False,Auxiliary_Engine,0.0,64227.6,8473.7,4909.4,77610.6,77773.9,46566.37,46566.37,40.0,11225.89,57792.26,241679.5,280647.3,9.472
VOY-00025,Custom_Charter_Route,Container_Feeder,Container,Methanol,18.81,6371.0,0.431,26152.5,16.4,147.7,1.92,182,338.7,55.5,12300.1,0.683,13.27,False,True,Shore_Power_AMP,78807.1,1485829.4,208663.9,0.0,1694493.2,1671404.1,1779217.9,1793753.17,180.0,142644.36,1936397.53,2329928.2,792468.6,10.756
VOY-00026,Hamburg - New York (Transatlantic),Bulk_Capesize,Bulk Carrier,Methanol,13.83,3740.9,0.593,130704.0,5.6,61.3,0.52,515,270.54,28.7,14015.9,0.849,9.09,False,False,Auxiliary_Engine,0.0,1314064.3,109060.3,10126.6,1433251.1,1371749.4,1504913.64,1504913.64,120.0,78519.61,1583433.25,1970720.2,654330.1,2.927
VOY-00027,Ras Tanura - Singapore (Crude Tanker),Container_Feeder,Container,HFO,20.64,3674.4,0.708,35577.7,27.9,45.0,3.33,110,178.0,28.4,24765.3,1.0,40.53,True,False,Auxiliary_Engine,0.0,784868.5,60410.3,8039.7,853318.5,869627.1,511991.11,511991.11,180.0,559854.6,1071845.71,2657233.9,3110303.3,21.27
VOY-00028,Custom_Charter_Route,Container_Feeder,Container,Methanol,11.13,5632.0,0.871,41102.7,6.3,161.2,0.73,398,505.82,35.2,3282.6,0.182,7.82,False,True,Shore_Power_AMP,49965.6,732464.7,371511.7,0.0,1103976.3,1100384.4,1159175.15,1168518.96,180.0,92839.73,1261358.69,1517967.5,515776.3,7.927
VOY-00029,Santos - Rotterdam (Agri-Bulk),Bulk_Capesize,Bulk Carrier,Methanol,13.72,5228.1,0.946,194298.5,10.4,175.4,1.15,412,381.14,38.4,18002.6,1.0,10.2,True,True,Shore_Power_AMP,33327.7,2427157.6,175803.2,0.0,2602960.7,2549242.3,2733108.78,2739457.77,180.0,213119.44,2952577.2,3579071.0,1183996.9,3.803
VOY-00030,Custom_Charter_Route,Bulk_Handysize,Bulk Carrier,HFO,14.33,1247.2,0.403,23813.5,10.5,13.1,1.29,531,87.03,36.6,5713.7,0.794,14.93,False,True,Shore_Power_AMP,21694.5,88651.7,10843.0,0.0,99494.7,101665.0,59696.8,63951.82,180.0,66851.9,130803.72,309826.4,371399.5,6.537
VOY-00031,Custom_Charter_Route,Container_Feeder,Container,LNG,18.94,10848.1,0.825,39537.4,8.2,100.5,0.73,105,572.74,23.9,15148.6,0.842,3.73,False,True,Shore_Power_AMP,34018.2,1245255.7,167273.6,0.0,1412529.3,1401853.3,1130023.44,1136496.72,250.0,1133255.17,2269751.9,3884455.6,4533020.7,10.532
VOY-00032,Shanghai - Rotterdam (Suez),Bulk_Handysize,Bulk Carrier,LNG,9.39,9880.9,0.759,37342.1,12.6,105.0,1.26,383,1051.82,16.0,2105.4,0.292,11.39,False,False,Auxiliary_Engine,0.0,373834.8,124865.2,1553.7,500253.7,505277.6,400202.98,400202.98,180.0,288020.29,688223.28,1375697.7,1600112.7,3.664
VOY-00033,Custom_Charter_Route,Tanker_Aframax,Tanker,LNG,9.09,618.3,0.911,123813.3,14.3,99.7,1.5,546,68.05,15.6,4239.4,0.314,16.07,False,True,Shore_Power_AMP,14798.7,46419.5,13679.6,0.0,60099.1,59450.1,48079.29,51093.06,0.0,0.0,51093.06,165272.6,197940.7,2.324
VOY-00034,Custom_Charter_Route,Bulk_Capesize,Bulk Carrier,LNG,13.59,643.1,0.527,118861.2,31.1,160.2,4.38,22,47.32,20.1,16861.5,1.0,47.28,True,False,Auxiliary_Engine,0.0,114159.0,7508.5,2872.9,124540.4,122023.8,99632.32,99632.32,40.0,15889.46,115521.78,342486.1,397236.5,2.959
VOY-00035,Ras Tanura - Singapore (Crude Tanker),Bulk_Handysize,Bulk Carrier,LNG,10.86,3577.1,0.636,32650.6,29.4,24.0,2.7,561,329.34,51.5,3743.9,0.52,40.15,False,False,Auxiliary_Engine,0.0,188383.7,37251.8,5005.9,230641.4,223028.9,184513.14,184513.14,180.0,132443.98,316957.13,634263.9,735799.9,4.666
VOY-00036,Hamburg - New York (Transatlantic),Tanker_Aframax,Tanker,LNG,12.86,3598.2,0.84,115587.3,30.7,177.4,4.01,231,279.77,58.6,14156.3,1.0,43.02,True,False,Auxiliary_Engine,0.0,573566.6,54783.3,9110.1,637459.9,626658.4,509967.94,509967.94,180.0,366439.0,876406.95,1753014.8,2035772.2,4.236
VOY-00037,Ras Tanura - Singapore (Crude Tanker),Container_Feeder,Container,LNG,10.41,3430.5,0.397,25014.2,15.3,164.4,2.37,37,329.7,48.9,2071.9,0.115,16.12,False,False,Auxiliary_Engine,0.0,125640.8,80954.6,11414.4,218009.8,210648.0,174407.81,174407.81,40.0,27699.79,202107.6,599526.8,692494.8,5.14
VOY-00038,Tokyo - Busan (Regional),Container_Feeder,Container,LNG,12.77,552.8,0.903,42211.5,8.7,8.4,0.5,320,43.31,52.9,4988.1,0.277,6.8,False,False,Auxiliary_Engine,0.0,35952.3,13018.7,12346.3,61317.3,60906.1,49053.81,49053.81,180.0,34318.69,83372.51,168622.5,190659.4,8.971
VOY-00039,Hamburg - New York (Transatlantic),Tanker_Aframax,Tanker,LNG,14.54,3638.3,0.615,89717.8,17.4,162.6,2.34,718,250.18,12.7,15187.1,1.0,25.66,True,True,Shore_Power_AMP,12029.8,550254.2,44903.4,0.0,595157.6,607408.2,476126.08,478641.45,40.0,76363.03,555004.48,1636683.4,1909075.7,3.912
VOY-00040,Hedland - Qingdao (Iron Ore Bulk),Container_ULCV,Container,LNG,16.53,3606.6,0.6,161965.3,33.6,155.2,3.82,522,218.22,15.2,31114.9,0.444,43.82,False,True,Shore_Power_AMP,65910.2,977882.6,178415.1,0.0,1156297.7,1179319.7,925038.15,937251.99,250.0,931299.62,1868551.61,3179818.6,3725198.5,4.521
VOY-00041,Custom_Charter_Route,Bulk_Capesize,Bulk Carrier,LNG,11.8,2755.6,0.398,95602.9,6.3,161.4,0.8,209,233.5,36.7,6830.0,0.414,5.34,False,False,Auxiliary_Engine,0.0,241377.5,35042.0,5238.4,281657.9,277924.1,225326.3,225326.3,180.0,161810.62,387136.92,774559.1,898947.9,1.562
VOY-00042,Santos - Rotterdam (Agri-Bulk),Bulk_Capesize,Bulk Carrier,LNG,10.12,5445.6,0.48,110398.2,7.8,90.6,0.73,263,538.06,35.1,4780.0,0.29,6.19,False,False,Auxiliary_Engine,0.0,414650.4,83691.3,5005.0,503346.7,503876.9,402677.4,402677.4,250.0,402114.33,804791.73,1384203.6,1608457.3,1.412
VOY-00043,Custom_Charter_Route,Container_ULCV,Container,Hydrogen,12.03,1067.0,0.726,186625.6,12.8,42.5,1.45,42,88.67,29.7,10031.5,0.143,9.29,False,True,Shore_Power_AMP,128994.6,63083.6,31252.7,0.0,94336.4,95280.3,396212.69,419781.72,180.0,9672.26,429453.98,0.0,53734.8,0.0
VOY-00044,Dubai (Jebel Ali) - Mumbai (Nhava Sheva),Tanker_Aframax,Tanker,Methanol,12.72,1061.0,0.686,97838.1,7.9,48.5,0.7,287,83.38,22.1,9159.5,0.678,6.78,False,True,Shore_Power_AMP,20983.7,269299.3,38056.4,0.0,307355.7,306988.5,322723.44,326850.51,120.0,17554.06,344404.58,422614.0,146283.9,3.464
VOY-00045,Shanghai - Rotterdam (Suez),Container_Feeder,Container,HFO,13.77,10281.0,0.759,37297.8,41.2,100.4,4.53,383,746.5,39.1,8844.0,0.491,63.77,False,True,Shore_Power_AMP,55554.6,1207721.9,258352.8,0.0,1466074.7,1517230.9,879644.8,889994.64,180.0,967010.99,1857005.63,4565356.5,5372283.3,13.061
VOY-00046,Custom_Charter_Route,Container_Panamax,Container,Methanol,15.63,6722.7,0.499,55962.8,5.4,27.5,0.5,460,430.13,25.7,10427.1,0.248,8.27,False,True,Shore_Power_AMP,64887.3,1813566.3,485206.9,0.0,2298773.2,2270778.4,2413711.83,2425741.55,0.0,0.0,2425741.55,3160813.1,1059105.1,6.914
VOY-00047,Custom_Charter_Route,Container_ULCV,Container,Methanol,12.24,10970.2,0.915,223398.6,19.2,175.5,2.13,620,896.47,20.2,13196.6,0.189,21.27,False,False,Auxiliary_Engine,0.0,4882234.3,2044473.2,35616.6,6962324.2,7012101.4,7310440.36,7310440.36,0.0,0.0,7310440.36,9573195.7,3165991.2,4.475
VOY-00048,Shenzhen - Los Angeles (Transpacific),Container_Panamax,Container,Methanol,21.9,6986.7,0.798,76257.2,30.1,132.5,4.12,668,319.01,25.9,49953.5,1.0,53.36,True,False,Auxiliary_Engine,0.0,5568180.9,405423.1,26519.5,6000123.5,6040017.6,6300129.62,6300129.62,80.0,217966.88,6518096.51,8250169.7,2724586.1,17.365
VOY-00049,Tokyo - Busan (Regional),Bulk_Handysize,Bulk Carrier,HFO,12.73,564.8,0.435,25017.9,21.3,122.7,2.08,564,44.38,31.8,4368.7,0.607,21.36,False,True,Shore_Power_AMP,18810.2,35211.2,5606.5,0.0,40817.7,41278.4,24490.59,28226.43,0.0,0.0,28226.43,127106.2,156132.3,5.922
VOY-00050,Custom_Charter_Route,Container_Panamax,Container,LNG,23.13,2374.3,0.589,62046.2,17.8,129.9,2.11,305,102.66,19.9,39331.0,0.936,17.65,False,False,Auxiliary_Engine,0.0,564163.3,48616.3,8249.7,621029.3,631840.7,496823.46,496823.46,80.0,158686.52,655509.98,1707830.6,1983581.5,10.578
VOY-00051,Singapore - Port Klang (Feeder Hop),Tanker_Aframax,Tanker,LNG,15.36,213.0,0.78,108732.1,29.9,112.3,3.2,37,13.87,33.1,21021.4,1.0,29.99,True,False,Auxiliary_Engine,0.0,42223.4,2655.8,5143.4,50022.7,49723.6,40018.14,40018.14,0.0,0.0,40018.14,137562.3,157758.0,5.617
VOY-00052,Custom_Charter_Route,Tanker_Aframax,Tanker,HFO,15.35,1418.3,0.942,127340.8,19.5,60.3,2.23,683,92.43,35.8,23036.1,1.0,28.45,True,False,Auxiliary_Engine,0.0,374590.1,22819.9,6762.5,404172.5,399976.3,242503.5,242503.5,80.0,117728.4,360231.9,1258593.2,1471604.9,7.716
VOY-00053,Dubai (Jebel Ali) - Mumbai (Nhava Sheva),Bulk_Handysize,Bulk Carrier,HFO,10.06,1026.9,0.819,39610.1,13.2,157.8,1.17,132,102.06,51.4,2560.4,0.356,5.99,False,True,Shore_Power_AMP,30446.3,51767.3,15055.0,0.0,66822.2,70593.0,40093.34,45923.67,120.0,30656.49,76580.16,208084.4,255470.7,5.332
VOY-00054,Shenzhen - Los Angeles (Transpacific),Bulk_Capesize,Bulk Carrier,Ammonia,10.55,6731.1,0.804,168652.1,7.1,124.9,0.5,83,638.06,51.7,6911.9,0.419,2.22,False,False,Auxiliary_Engine,0.0,1761944.9,298874.5,19498.0,2080317.5,2094929.9,1976301.6,1976301.6,250.0,61824.58,2038126.18,0.0,247298.3,0.0
VOY-00055,Custom_Charter_Route,Tanker_Aframax,Tanker,Methanol,12.23,1813.9,0.719,101722.4,39.3,157.0,4.59,474,148.26,16.9,12392.8,0.918,58.4,False,False,Auxiliary_Engine,0.0,648744.1,68569.3,6502.9,723816.3,727740.5,760007.13,760007.13,180.0,59711.86,819718.99,995247.4,331732.6,4.771
VOY-00056,Custom_Charter_Route,Container_Panamax,Container,HFO,18.49,4751.8,0.814,77349.3,16.1,166.6,1.3,419,256.97,19.9,21935.0,0.522,10.83,False,True,Shore_Power_AMP,50387.3,984683.7,161439.5,0.0,1146123.2,1142519.0,687673.89,697093.61,0.0,0.0,697093.61,3569027.5,4202496.7,11.045
VOY-00057,Hamburg - New York (Transatlantic),Container_Feeder,Container,Methanol,13.43,3713.0,0.589,31524.7,7.8,108.7,1.03,589,276.56,31.9,5037.1,0.28,12.63,False,False,Auxiliary_Engine,0.0,572259.7,182146.2,18403.2,772809.1,747886.8,811449.57,811449.57,250.0,91196.77,902646.35,1062612.5,364787.1,8.417
VOY-00058,Singapore - Port Klang (Feeder Hop),Container_Panamax,Container,Methanol,16.88,208.4,0.439,51834.3,5.5,89.7,0.84,191,12.35,49.5,12169.1,0.29,5.58,False,True,Shore_Power_AMP,124961.2,59158.9,13569.0,0.0,72727.9,72442.1,76364.32,99207.33,40.0,3208.51,102415.84,100000.9,80212.8,7.057
VOY-00059,Singapore - Rotterdam,Bulk_Handysize,Bulk Carrier,LNG,13.64,8899.4,0.444,25359.0,7.8,90.4,0.7,155,652.22,31.1,4673.1,0.649,4.43,False,True,Shore_Power_AMP,18397.5,452260.5,68094.7,0.0,520355.1,514526.8,416284.09,419945.63,80.0,133770.19,553715.83,1430976.6,1672127.4,4.231
VOY-00060,Custom_Charter_Route,Container_Feeder,Container,HFO,14.15,6523.9,0.535,29698.4,2.8,95.0,0.5,236,460.89,38.9,5267.2,0.293,4.57,False,True,Shore_Power_AMP,55226.0,486201.8,145877.4,0.0,632079.2,676262.1,379247.49,389538.17,0.0,0.0,389538.17,1968294.5,2328074.8,8.874
VOY-00061,Singapore - Rotterdam,Bulk_Capesize,Bulk Carrier,Methanol,16.12,7984.0,0.756,160029.5,10.3,128.9,1.01,363,495.2,31.6,25377.8,1.0,8.88,True,False,Auxiliary_Engine,0.0,4445400.4,212901.0,11136.1,4669437.5,4753682.6,4902909.42,4902909.42,80.0,168923.82,5071833.24,6420476.6,2111547.8,4.468
VOY-00062,Custom_Charter_Route,Bulk_Capesize,Bulk Carrier,Ammonia,10.23,2087.2,0.761,161021.4,6.2,17.9,0.92,134,204.05,50.7,6307.1,0.382,5.53,False,False,Auxiliary_Engine,0.0,522549.5,94058.2,19136.8,635744.5,620797.9,603957.32,603957.32,120.0,8879.15,612836.47,0.0,73992.9,0.0
VOY-00063,Tokyo - Busan (Regional),Bulk_Capesize,Bulk Carrier,LNG,10.93,616.8,0.358,88474.4,4.1,147.1,1.08,537,56.4,24.5,5488.8,0.333,12.06,False,True,Shore_Power_AMP,21234.9,48712.0,8316.2,0.0,57028.2,56350.2,45622.59,49794.88,120.0,22867.16,72662.03,156827.7,190559.6,1.413
VOY-00064,Singapore - Rotterdam,Tanker_Aframax,Tanker,HFO,12.05,8882.7,0.831,114573.2,21.4,156.3,2.71,142,736.98,20.7,9839.7,0.729,21.49,False,True,Shore_Power_AMP,19649.5,1250402.9,174737.3,0.0,1425140.3,1424037.3,855084.16,858971.07,0.0,0.0,858971.07,4437886.8,5209228.8,4.344
VOY-00065,Custom_Charter_Route,Tanker_Aframax,Tanker,HFO,12.79,2948.1,0.438,69346.3,5.5,3.3,0.57,160,230.47,37.4,7208.2,0.534,4.06,False,False,Auxiliary_Engine,0.0,296379.2,46650.8,7073.1,350103.1,353676.4,210061.88,210061.88,0.0,0.0,210061.88,1090221.2,1274085.3,3.216
VOY-00066,Singapore - Port Klang (Feeder Hop),Container_Feeder,Container,LNG,19.13,193.6,0.436,26332.1,4.0,157.3,1.02,469,10.12,39.5,12682.6,0.705,10.58,False,False,Auxiliary_Engine,0.0,18473.8,2527.6,9222.3,30223.8,31410.5,24179.01,24179.01,180.0,16661.88,40840.89,83115.3,92566.0,12.629
VOY-00067,Singapore - Port Klang (Feeder Hop),Bulk_Handysize,Bulk Carrier,LNG,12.63,198.8,0.815,39468.5,14.0,70.1,1.16,310,15.74,33.0,5279.5,0.733,10.7,False,False,Auxiliary_Engine,0.0,12215.0,1908.1,3207.4,17330.4,17579.1,13864.36,13864.36,80.0,4321.13,18185.49,47658.7,54014.1,6.309
VOY-00068,Custom_Charter_Route,Container_Panamax,Container,Methanol,19.63,8098.4,0.485,55008.0,3.8,47.2,0.5,521,412.6,40.6,20549.0,0.489,8.97,False,True,Shore_Power_AMP,102690.8,3045885.5,462656.6,0.0,3508542.1,3519244.0,3683969.16,3702803.52,40.0,64714.66,3767518.17,4824245.3,1617866.4,8.76
VOY-00069,Santos - Rotterdam (Agri-Bulk),Container_Panamax,Container,HFO,15.48,5403.5,0.794,75999.0,7.1,14.0,1.61,122,349.13,45.3,12697.0,0.302,10.71,False,True,Shore_Power_AMP,114556.9,851253.4,217710.3,0.0,1068963.7,1060738.4,641378.25,662348.48,40.0,157809.97,820158.45,3328753.1,3945249.3,9.059
VOY-00070,Custom_Charter_Route,Container_ULCV,Container,Methanol,24.51,7642.6,0.678,177291.8,8.5,172.5,1.12,95,311.85,43.6,78981.2,1.0,5.42,True,False,Auxiliary_Engine,0.0,8393830.8,650535.5,76903.6,9121269.9,9414552.6,9577333.38,9577333.38,250.0,1043926.83,10621260.21,12541746.1,4175707.3,8.416
VOY-00071,Dubai (Jebel Ali) - Mumbai (Nhava Sheva),Container_Feeder,Container,LNG,15.38,1153.5,0.945,43621.8,19.4,125.5,2.14,151,74.98,21.2,9675.9,0.538,15.82,False,True,Shore_Power_AMP,30189.9,107720.4,22880.0,0.0,130600.4,130471.3,104480.31,110264.5,80.0,34351.47,144615.97,359151.1,429393.4,9.158
VOY-00072,Shanghai - Rotterdam (Suez),Tanker_Aframax,Tanker,Methanol,12.19,10768.4,0.76,106354.6,18.2,100.9,2.35,185,883.67,28.3,9555.6,0.708,19.97,False,False,Auxiliary_Engine,0.0,2968182.1,415071.5,10890.9,3394144.6,3389891.8,3563851.81,3563851.81,120.0,184492.7,3748344.51,4666948.8,1537439.2,3.769
VOY-00073,Custom_Charter_Route,Container_Feeder,Container,HFO,17.28,5793.8,0.619,32542.4,11.2,178.3,1.54,265,335.33,54.0,10807.9,0.6,11.0,False,False,Auxiliary_Engine,0.0,643750.3,109845.9,15304.9,768901.1,768434.4,461340.66,461340.66,80.0,223862.84,685203.5,2394358.0,2798285.5,12.155
VOY-00074,Hedland - Qingdao (Iron Ore Bulk),Bulk_Handysize,Bulk Carrier,Methanol,11.79,3359.7,0.679,34309.1,9.1,0.6,0.5,338,285.01,46.3,3783.2,0.525,7.18,False,False,Auxiliary_Engine,0.0,406627.8,81098.6,11142.0,498868.3,495130.0,523811.71,523811.71,0.0,0.0,523811.71,685943.9,234797.0,5.373
